date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:31	2558/2558	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-dropdown.js	twitter.github.com/bootstrap/assets/js/bootstrap-dropdown.js	(from )
16:17:31	3669/3669	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-scrollspy.js	twitter.github.com/bootstrap/assets/js/bootstrap-scrollspy.js	(from )
16:17:31	3307/3307	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-tab.js	twitter.github.com/bootstrap/assets/js/bootstrap-tab.js	(from )
16:17:31	7374/7374	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-tooltip.js	twitter.github.com/bootstrap/assets/js/bootstrap-tooltip.js	(from )
16:17:31	2869/2869	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-popover.js	twitter.github.com/bootstrap/assets/js/bootstrap-popover.js	(from )
16:17:32	2729/2729	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-button.js	twitter.github.com/bootstrap/assets/js/bootstrap-button.js	(from )
16:17:32	52306/52306	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/example-sites/kippt.png	twitter.github.com/bootstrap/assets/img/example-sites/kippt.png	(from )
16:17:32	3912/3912	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-collapse.js	twitter.github.com/bootstrap/assets/js/bootstrap-collapse.js	(from )
16:17:32	6706/6706	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/bootstrap-typeahead.js	twitter.github.com/bootstrap/assets/js/bootstrap-typeahead.js	(from )
16:17:33	41932/41932	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/img/example-sites/fleetio.png	twitter.github.com/bootstrap/assets/img/example-sites/fleetio.png	(from )
16:17:33	4633/4633	---MC-	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Feb%202012%2006:35:24%20GMT	http://twitter.github.com/bootstrap/assets/js/application.js	twitter.github.com/bootstrap/assets/js/application.js	(from )
